"Variable","Prevalence among exposed","Prevalence among unexposed","Adjusted prevalence ratio (95% CI)"
"Difficult to see funny side of things","46.9%","20.3%","2.06 (1.15, 3.41)"
"Difficult to look forward to enjoyment","43.8%","20.0%","1.88 (1.03, 3.18)"
"Blamed self unnecessarily when things went wrong","9.4%","17.1%","0.50 (0.12, 1.32)"
"Felt anxious or worried for no good reason","21.9%","19.9%","1.09 (0.46, 2.18)"
"Felt scared or panicky for no good reason","25.0%","10.5%","2.37 (1.05, 4.67)"
"Things getting on top of self","31.2%","22.6%","1.26 (0.62, 2.29)"
"Difficulty sleeping due to unhappiness","15.6%","19.0%","0.72 (0.26, 1.60)"
"Felt sad or miserable","25.0%","21.8%","1.02 (0.46, 1.95)"
"Cried due to unhappiness","28.1%","13.9%","1.84 (0.86, 3.47)"
"Thoughts of self harm","43.8%","4.4%","8.40 (4.19, 16.10)"
