"Variable","Prevalence among exposed","Prevalence among unexposed","Adjusted prevalence ratio (95% CI)"
"Difficult to see funny side of things","46.88%","20.26%","2.55 (1.19, 5.38)"
"Difficult to look forward to enjoyment","43.75%","20.02%","2.17 (1.02, 4.53)"
"Blamed self unnecessarily when things went wrong","9.38%","17.08%","0.46 (0.11, 1.33)"
"Felt anxious or worried for no good reason","21.88%","19.91%","1.06 (0.41, 2.43)"
"Felt scared or panicky for no good reason","25.00%","10.48%","2.87 (1.18, 6.34)"
"Things getting on top of self","31.25%","22.61%","1.49 (0.65, 3.24)"
"Difficulty sleeping due to unhappiness","15.62%","18.96%","0.72 (0.24, 1.79)"
"Felt sad or miserable","25.00%","21.79%","1.05 (0.42, 2.38)"
"Cried due to unhappiness","28.12%","13.90%","2.04 (0.86, 4.50)"
"Thoughts of self harm","43.75%","4.36%","8.71 (3.81, 19.75)"
